/media/ramdisk/centos.iso > /media/pc/hd/centos.iso
sending incremental file list
centos.iso

          2.83G  66%   59.67MB/s    0:00:25  
          2.89G  67%   58.49MB/s    0:00:24  
          2.93G  68%   58.21MB/s    0:00:24  
          2.99G  69%   55.75MB/s    0:00:24  
          3.05G  71%   55.80MB/s    0:00:23  
          3.08G  72%   32.38MB/s    0:00:38  
          3.08G  72%   21.00MB/s    0:00:59  
          3.10G  72%   13.23MB/s    0:01:33  
          3.10G  72%    5.97MB/s    0:03:25  
          3.33G  77%   33.00MB/s    0:00:29  
          3.60G  84%   80.42MB/s    0:00:08  
          3.69G  86%  114.81MB/s    0:00:05  
          3.78G  88%  174.13MB/s    0:00:02  
          3.86G  90%  136.75MB/s    0:00:03  
          3.91G  91%   79.97MB/s    0:00:04  
          3.97G  92%   71.30MB/s    0:00:04  
          4.03G  94%   62.06MB/s    0:00:04  
          4.07G  95%   53.39MB/s    0:00:03  
          4.14G  96%   58.08MB/s    0:00:02  
          4.20G  98%   55.92MB/s    0:00:01  
          4.26G  99%   58.22MB/s    0:00:00  
          4.27G 100%   67.63MB/s    0:01:04 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  66.83M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
        436.91M   9%  436.88MB/s    0:00:09  
        719.34M  16%  340.74MB/s    0:00:10  
        829.34M  18%  266.40MB/s    0:00:13  
        918.59M  20%  222.68MB/s    0:00:15  
        952.59M  21%  114.04MB/s    0:00:30  
          1.04G  24%   78.13MB/s    0:00:43  
          1.08G  25%   63.75MB/s    0:00:52  
          1.15G  26%   57.78MB/s    0:00:56  
          1.19G  27%   66.67MB/s    0:00:48  
          1.25G  29%   53.18MB/s    0:00:59  
          1.30G  30%   55.80MB/s    0:00:55  
          1.36G  31%   54.73MB/s    0:00:55  
          1.42G  33%   57.46MB/s    0:00:52  
          1.47G  34%   57.85MB/s    0:00:50  
          1.53G  35%   58.17MB/s    0:00:49  
          1.58G  37%   55.86MB/s    0:00:50  
          1.65G  38%   58.42MB/s    0:00:47  
          1.71G  39%   56.18MB/s    0:00:47  
          1.77G  41%   57.98MB/s    0:00:45  
          1.83G  42%   60.53MB/s    0:00:42  
          1.88G  44%   56.97MB/s    0:00:43  
          1.94G  45%   58.20MB/s    0:00:42  
          1.99G  46%   56.06MB/s    0:00:42  
          2.05G  47%   55.49MB/s    0:00:42  
          2.11G  49%   57.35MB/s    0:00:39  
          2.16G  50%   57.48MB/s    0:00:38  
          2.21G  51%   52.60MB/s    0:00:41  
          2.28G  53%   57.17MB/s    0:00:36  
          2.33G  54%   53.28MB/s    0:00:38  
          2.40G  56%   56.43MB/s    0:00:34  
          2.45G  57%   61.59MB/s    0:00:30  
          2.51G  58%   57.38MB/s    0:00:32  
          2.57G  60%   61.13MB/s    0:00:29  
          2.63G  61%   58.70MB/s    0:00:29  
          2.68G  62%   58.83MB/s    0:00:28  
          2.74G  64%   58.94MB/s    0:00:27  
          2.80G  65%   58.76MB/s    0:00:26  
          2.86G  66%   59.07MB/s    0:00:25  
          2.91G  68%   58.49MB/s    0:00:24  
          2.97G  69%   59.15MB/s    0:00:23  
          3.03G  70%   57.96MB/s    0:00:22  
          3.08G  72%   55.32MB/s    0:00:22  
          3.14G  73%   58.03MB/s    0:00:20  
          3.20G  74%   57.39MB/s    0:00:19  
          3.26G  76%   58.13MB/s    0:00:18  
          3.31G  77%   60.69MB/s    0:00:16  
          3.37G  78%   58.19MB/s    0:00:16  
          3.43G  80%   58.14MB/s    0:00:15  
          3.49G  81%   58.50MB/s    0:00:14  
          3.54G  82%   58.40MB/s    0:00:13  
          3.60G  84%   59.44MB/s    0:00:11  
          3.66G  85%   58.52MB/s    0:00:11  
          3.71G  86%   58.52MB/s    0:00:10  
          3.77G  88%   58.89MB/s    0:00:08  
          3.83G  89%   57.47MB/s    0:00:08  
          3.88G  90%   57.91MB/s    0:00:07  
          3.94G  92%   58.08MB/s    0:00:05  
          4.00G  93%   58.77MB/s    0:00:04  
          4.06G  94%   58.44MB/s    0:00:03  
          4.12G  96%   59.40MB/s    0:00:02  
          4.16G  97%   56.34MB/s    0:00:02  
          4.22G  98%   55.36MB/s    0:00:00  
          4.27G  99%   53.34MB/s    0:00:00  
          4.27G 100%   67.97MB/s    0:01:04 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  67.86M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
        467.47M  10%  467.44MB/s    0:00:08  
        719.09M  16%  338.38MB/s    0:00:11  
        841.09M  19%  268.45MB/s    0:00:13  
        926.59M  21%  223.75MB/s    0:00:15  
        986.59M  22%  124.97MB/s    0:00:27  
          1.01G  23%   78.64MB/s    0:00:43  
          1.07G  24%   62.73MB/s    0:00:53  
          1.13G  26%   56.83MB/s    0:00:58  
          1.17G  27%   53.95MB/s    0:01:00  
          1.23G  28%   56.89MB/s    0:00:56  
          1.29G  30%   56.86MB/s    0:00:55  
          1.34G  31%   55.08MB/s    0:00:55  
          1.40G  32%   58.58MB/s    0:00:51  
          1.46G  34%   55.44MB/s    0:00:53  
          1.53G  35%   58.31MB/s    0:00:49  
          1.58G  37%   57.20MB/s    0:00:49  
          1.65G  38%   58.33MB/s    0:00:47  
          1.71G  39%   60.82MB/s    0:00:44  
          1.77G  41%   58.43MB/s    0:00:45  
          1.81G  42%   57.78MB/s    0:00:44  
          1.87G  43%   55.68MB/s    0:00:45  
          1.93G  45%   55.77MB/s    0:00:44  
          1.99G  46%   56.35MB/s    0:00:42  
          2.04G  47%   58.40MB/s    0:00:40  
          2.10G  49%   59.32MB/s    0:00:38  
          2.15G  50%   58.52MB/s    0:00:37  
          2.21G  51%   54.71MB/s    0:00:39  
          2.27G  53%   58.14MB/s    0:00:36  
          2.33G  54%   54.62MB/s    0:00:37  
          2.39G  55%   55.86MB/s    0:00:35  
          2.45G  57%   58.67MB/s    0:00:32  
          2.50G  58%   55.82MB/s    0:00:33  
          2.56G  59%   58.69MB/s    0:00:30  
          2.62G  61%   57.82MB/s    0:00:30  
          2.67G  62%   57.79MB/s    0:00:29  
          2.73G  63%   58.55MB/s    0:00:27  
          2.79G  65%   57.92MB/s    0:00:26  
          2.85G  66%   58.81MB/s    0:00:25  
          2.90G  67%   58.07MB/s    0:00:24  
          2.95G  69%   54.44MB/s    0:00:25  
          3.02G  70%   57.40MB/s    0:00:22  
          3.08G  71%   56.54MB/s    0:00:22  
          3.13G  73%   57.09MB/s    0:00:20  
          3.19G  74%   60.21MB/s    0:00:18  
          3.24G  75%   57.47MB/s    0:00:18  
          3.30G  77%   57.70MB/s    0:00:17  
          3.36G  78%   57.84MB/s    0:00:16  
          3.41G  79%   57.46MB/s    0:00:15  
          3.47G  81%   58.45MB/s    0:00:14  
          3.53G  82%   57.35MB/s    0:00:13  
          3.57G  83%   52.27MB/s    0:00:14  
          3.65G  85%   56.92MB/s    0:00:11  
          3.70G  86%   54.66MB/s    0:00:10  
          3.76G  88%   56.77MB/s    0:00:09  
          3.81G  89%   60.80MB/s    0:00:07  
          3.87G  90%   55.83MB/s    0:00:07  
          3.93G  91%   57.52MB/s    0:00:06  
          3.99G  93%   58.41MB/s    0:00:05  
          4.04G  94%   57.92MB/s    0:00:04  
          4.10G  95%   58.58MB/s    0:00:03  
          4.15G  97%   58.08MB/s    0:00:02  
          4.20G  98%   53.27MB/s    0:00:01  
          4.27G  99%   57.67MB/s    0:00:00  
          4.27G 100%   67.92MB/s    0:01:04 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  67.86M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
        467.38M  10%  467.34MB/s    0:00:08  
        719.34M  16%  331.48MB/s    0:00:11  
        838.84M  19%  264.69MB/s    0:00:13  
        926.84M  21%  222.10MB/s    0:00:15  
        975.59M  22%  105.46MB/s    0:00:33  
          1.06G  24%   78.87MB/s    0:00:42  
          1.10G  25%   62.39MB/s    0:00:53  
          1.16G  27%   56.36MB/s    0:00:57  
          1.21G  28%   62.37MB/s    0:00:51  
          1.28G  30%   54.05MB/s    0:00:58  
          1.33G  31%   56.11MB/s    0:00:54  
          1.39G  32%   55.58MB/s    0:00:54  
          1.45G  33%   60.71MB/s    0:00:48  
          1.50G  35%   56.29MB/s    0:00:51  
          1.56G  36%   57.92MB/s    0:00:49  
          1.62G  37%   58.40MB/s    0:00:47  
          1.68G  39%   58.04MB/s    0:00:46  
          1.73G  40%   58.64MB/s    0:00:45  
          1.79G  41%   58.08MB/s    0:00:44  
          1.84G  43%   55.97MB/s    0:00:45  
          1.90G  44%   57.87MB/s    0:00:42  
