/media/ramdisk/centos.iso > /media/pc/m2sgx/centos.iso
sending incremental file list
centos.iso

        124.09M   2%  124.06MB/s    0:00:35  
        247.84M   5%  123.91MB/s    0:00:34  
        359.09M   8%  119.41MB/s    0:00:34  
        379.59M   8%   94.75MB/s    0:00:43  
        400.34M   9%   68.84MB/s    0:00:59  
        421.09M   9%   43.16MB/s    0:01:33  
        441.09M  10%   20.45MB/s    0:03:16  
        462.84M  10%   20.71MB/s    0:03:13  
        482.84M  11%   20.51MB/s    0:03:14  
        502.59M  11%   20.21MB/s    0:03:16  
        522.59M  11%   20.18MB/s    0:03:15  
        544.84M  12%   20.36MB/s    0:03:12  
        580.09M  13%   24.16MB/s    0:02:40  
        599.84M  13%   24.19MB/s    0:02:39  
        619.34M  14%   24.11MB/s    0:02:39  
        643.34M  14%   24.49MB/s    0:02:36  
        665.34M  15%   21.18MB/s    0:02:59  
        685.59M  15%   21.29MB/s    0:02:57  
        759.72M  17%   34.88MB/s    0:01:46  
        882.34M  20%   59.50MB/s    0:01:00  
        971.59M  22%   76.37MB/s    0:00:45  
        993.09M  22%   76.68MB/s    0:00:45  
          1.03G  24%   72.44MB/s    0:00:47  
          1.05G  24%   46.97MB/s    0:01:12  
          1.07G  25%   30.55MB/s    0:01:50  
          1.09G  25%   30.94MB/s    0:01:47  
          1.11G  26%   21.88MB/s    0:02:31  
          1.14G  26%   22.94MB/s    0:02:23  
          1.16G  27%   22.18MB/s    0:02:27  
          1.17G  27%   21.29MB/s    0:02:32  
          1.19G  27%   20.97MB/s    0:02:34  
          1.21G  28%   19.74MB/s    0:02:42  
          1.23G  28%   20.22MB/s    0:02:37  
          1.31G  30%   35.82MB/s    0:01:26  
          1.43G  33%   60.19MB/s    0:00:49  
          1.49G  34%   70.91MB/s    0:00:41  
          1.61G  37%   95.65MB/s    0:00:29  
          1.72G  40%  103.18MB/s    0:00:25  
          1.74G  40%   78.90MB/s    0:00:33  
          1.76G  41%   68.28MB/s    0:00:38  
          1.78G  41%   42.95MB/s    0:01:00  
          1.80G  42%   19.75MB/s    0:02:11  
          1.82G  42%   20.64MB/s    0:02:04  
          1.84G  42%   20.57MB/s    0:02:04  
          1.86G  43%   20.65MB/s    0:02:02  
          1.88G  43%   20.64MB/s    0:02:01  
          1.90G  44%   20.82MB/s    0:01:59  
          1.92G  44%   20.82MB/s    0:01:58  
          1.94G  45%   20.78MB/s    0:01:57  
          1.96G  45%   20.84MB/s    0:01:56  
          1.98G  46%   19.72MB/s    0:02:02  
          2.00G  46%   19.74MB/s    0:02:00  
          2.02G  47%   19.71MB/s    0:02:00  
          2.04G  47%   20.69MB/s    0:01:53  
          2.07G  48%   23.47MB/s    0:01:38  
          2.09G  48%   23.62MB/s    0:01:36  
          2.12G  49%   26.65MB/s    0:01:24  
          2.23G  52%   49.15MB/s    0:00:43  
          2.25G  52%   46.58MB/s    0:00:45  
          2.28G  53%   49.71MB/s    0:00:41  
          2.34G  54%   56.02MB/s    0:00:36  
          2.36G  55%   32.44MB/s    0:01:01  
          2.38G  55%   32.08MB/s    0:01:02  
          2.40G  56%   28.72MB/s    0:01:08  
          2.42G  56%   19.47MB/s    0:01:40  
          2.51G  58%   38.16MB/s    0:00:48  
          2.64G  61%   66.60MB/s    0:00:25  
          2.76G  64%   93.94MB/s    0:00:16  
          2.89G  67%  122.06MB/s    0:00:11  
          2.98G  69%  121.72MB/s    0:00:11  
          3.00G  70%   93.25MB/s    0:00:14  
          3.02G  70%   65.87MB/s    0:00:19  
          3.04G  71%   37.90MB/s    0:00:34  
          3.06G  71%   20.50MB/s    0:01:01  
          3.12G  72%   28.87MB/s    0:00:42  
          3.14G  73%   29.58MB/s    0:00:40  
          3.16G  73%   29.74MB/s    0:00:39  
          3.18G  74%   28.75MB/s    0:00:39  
          3.20G  74%   20.30MB/s    0:00:55  
          3.22G  75%   21.06MB/s    0:00:52  
          3.34G  78%   47.48MB/s    0:00:20  
          3.47G  81%   74.85MB/s    0:00:11  
          3.52G  82%   82.04MB/s    0:00:09  
          3.63G  85%  106.07MB/s    0:00:06  
          3.69G  86%   87.41MB/s    0:00:07  
          3.74G  87%   68.73MB/s    0:00:08  
          3.87G  90%   89.77MB/s    0:00:04  
          4.00G  93%   92.32MB/s    0:00:03  
          4.11G  96%  107.55MB/s    0:00:01  
          4.17G  97%  110.13MB/s    0:00:00  
          4.19G  97%   81.79MB/s    0:00:01  
          4.27G 100%   47.55MB/s    0:01:32 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  47.32M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
         66.59M   1%   66.56MB/s    0:01:06  
         94.84M   2%   47.41MB/s    0:01:32  
        113.84M   2%   37.92MB/s    0:01:55  
        133.59M   3%   33.32MB/s    0:02:10  
        153.59M   3%   21.70MB/s    0:03:19  
        173.09M   3%   19.50MB/s    0:03:40  
        192.84M   4%   19.66MB/s    0:03:37  
        212.59M   4%   19.67MB/s    0:03:36  
        232.34M   5%   19.60MB/s    0:03:36  
        255.84M   5%   20.59MB/s    0:03:24  
        275.34M   6%   20.56MB/s    0:03:24  
        295.28M   6%   20.64MB/s    0:03:22  
        369.84M   8%   34.35MB/s    0:01:59  
        442.34M  10%   46.60MB/s    0:01:26  
        563.84M  12%   72.09MB/s    0:00:54  
        664.09M  15%   91.95MB/s    0:00:41  
        683.59M  15%   78.20MB/s    0:00:48  
        703.09M  16%   65.01MB/s    0:00:57  
        722.84M  16%   39.64MB/s    0:01:34  
        742.59M  16%   19.57MB/s    0:03:10  
        762.34M  17%   19.64MB/s    0:03:08  
        781.84M  17%   19.64MB/s    0:03:07  
        801.59M  18%   19.59MB/s    0:03:06  
        821.09M  18%   19.54MB/s    0:03:06  
        842.09M  19%   19.83MB/s    0:03:02  
        862.84M  19%   20.15MB/s    0:02:58  
        882.84M  20%   20.26MB/s    0:02:56  
        917.59M  20%   24.06MB/s    0:02:27  
        939.09M  21%   24.15MB/s    0:02:25  
        958.62M  21%   23.84MB/s    0:02:26  
        978.34M  22%   23.76MB/s    0:02:26  
        998.59M  22%   20.17MB/s    0:02:51  
          1.05G  24%   33.14MB/s    0:01:42  
          1.09G  25%   39.85MB/s    0:01:23  
          1.11G  26%   39.89MB/s    0:01:23  
          1.13G  26%   39.87MB/s    0:01:22  
          1.15G  26%   26.61MB/s    0:02:03  
          1.17G  27%   20.95MB/s    0:02:35  
          1.21G  28%   23.99MB/s    0:02:14  
          1.22G  28%   23.76MB/s    0:02:14  
          1.24G  29%   23.75MB/s    0:02:13  
          1.26G  29%   22.72MB/s    0:02:18  
          1.28G  30%   19.57MB/s    0:02:40  
          1.30G  30%   19.96MB/s    0:02:36  
          1.32G  30%   20.16MB/s    0:02:33  
          1.34G  31%   20.07MB/s    0:02:33  
          1.36G  31%   20.28MB/s    0:02:30  
          1.38G  32%   20.31MB/s    0:02:29  
          1.40G  32%   20.26MB/s    0:02:28  
          1.42G  33%   20.39MB/s    0:02:26  
          1.44G  33%   20.27MB/s    0:02:26  
          1.46G  34%   20.15MB/s    0:02:26  
          1.48G  34%   19.86MB/s    0:02:27  
          1.58G  37%   40.95MB/s    0:01:08  
          1.71G  39%   67.57MB/s    0:00:39  
          1.73G  40%   68.26MB/s    0:00:39  
